Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s)
Logistic Regression,0.6968253968253968,0.6867469879518072,0.7238095238095238,0.7047913446676971,0.7471730914588057,10.142504930496216
Decision Tree,0.8539682539682539,0.8430769230769231,0.8698412698412699,0.85625,0.899251700680272,6.076059818267822
Random Forest,0.9293650793650794,0.9129770992366412,0.9492063492063492,0.930739299610895,0.9774174855127236,758.8780028820038
XGBoost,0.934126984126984,0.9320695102685624,0.9365079365079364,0.934283452098179,0.934126984126984,511.29302740097046
KNN,0.8357142857142857,0.7582417582417582,0.9857142857142858,0.8571428571428571,0.8357142857142857,7.295085668563843
