Model,Method used,No. of features,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s)
Random Forest,Correlation Matrix,11,0.9166666666666666,0.8888888888888888,0.9523809523809524,0.9195402298850576,0.9733900226757368,4.997204065322876
XGBoost,Correlation Matrix,11,0.9333333333333332,0.9403225806451612,0.9253968253968254,0.9328,0.9774099269337364,6.310039758682251
Random Forest,PCA,8,0.8936507936507937,0.8690476190476191,0.926984126984127,0.8970814132104454,0.9622814310909548,7.323969602584839
XGBoost,PCA,8,0.8952380952380953,0.8727544910179641,0.9253968253968254,0.8983050847457628,0.9619627110103302,5.690819263458252
RandomForestClassifier,Recursive elimination,8,0.8888888888888888,0.8723404255319149,0.9111111111111112,0.8913043478260869,0.962668178382464,52.938910484313965
DecisionTreeClassifier,Recursive elimination,6,0.8484126984126984,0.8592471358428805,0.8333333333333334,0.8460918614020951,0.8956160241874527,1.7767448425292969
XGBClassifier,Recursive elimination,7,0.9103174603174603,0.9149277688603531,0.9047619047619048,0.9098164405426975,0.9646157722348199,61.35022258758545
