Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression (GridSearchCV),0.669025157,0.257446809,0.626943005,0.365007541,0.700053302
Decision Tree (GridSearchCV),0.836477987,0.222222222,0.031088083,0.054545455,0.628349988
Decision Tree (GridSearchCV),0.724842767,0.264264264,0.455958549,0.33460076,0.670739554
Random Forest (GridSearchCV),0.6910377358490566,0.2512437810945274,0.5233160621761658,0.3394957983193277,0.6874960983831699
XGBoost ,0.6650943396226415,0.24168514412416853,0.5647668393782384,0.3385093167701863,0.6239033455463945
